Accuracy,F1,Enc Accuracy,Enc F1
0.9994160024891696,0.9989329508282752,0.9996361982719418,0.999335199440168
0.9993777075704268,0.9988593289344376,0.9997319355687992,0.9995084787417056
0.9993920681649554,0.9988915944457536,0.9996697063258418,0.999397616657209
0.9993920681649554,0.9988850945036036,0.999703214379742,0.9994555194520068
0.9993872813001125,0.9988830715532284,0.999703214379742,0.9994588083308602
0.9993394126516838,0.9987932210504222,0.9997175749742706,0.9994838551645102
0.999406428759484,0.998915856473386,0.9997223618391134,0.9994926877055488
0.9993489863813696,0.9988097530237524,0.9997271487039564,0.9995009936354802
0.9993441995165266,0.9987999194106466,0.9996697063258418,0.9993953150058278
0.9993537732462124,0.9988296387484936,0.9996697063258418,0.99940160785368
