Accuracy,F1,Enc Accuracy,Enc F1
0.9769565936432096,0.9493118762133564,0.9690200207297324,0.9292763157894738
0.9780340157552516,0.9523196838135722,0.9669061119962272,0.9261631199196274
0.9771940194885684,0.949201995740087,0.9661119634789928,0.9235084970025798
0.9750555494607158,0.9452809586069166,0.9671238888061082,0.9260358953200518
0.9801888599793358,0.9562336088552876,0.9627421538945208,0.916670328865451
0.9790312043057586,0.9544257487757656,0.9553557539744268,0.896277556920853
0.9784089848489562,0.9529004143449062,0.9652637801141936,0.9196360247600144
0.9778604492751962,0.9519101155565672,0.9656551234041298,0.92219695761357
0.9810092072105412,0.9588475322002624,0.9639931424866182,0.9191288422074626
0.9771563588372356,0.9503334009747484,0.9502502795894008,0.884350841399681
