Model,Mean Accuracy,Mean F1,Mean Enc Accuracy,Mean Enc F1,Accuracy Difference,Q-Value Accuracy
binaryANN,0.9737770595562738,0.9725132616263614,0.9531495135171533,0.9505342358566281,0.020627546039120658,0.0235
binaryET,0.9943608389724943,0.9941328051314196,0.9918459414873917,0.991510330382017,0.002514897485102474,0.003
multiANN,0.9689381018438873,0.9721206612126714,0.9515471828620289,0.9572198094468567,0.01739091898185855,0.0195
multiET,0.970076340580824,0.9732080934585726,0.9505151968761041,0.9564320102346556,0.019561143704720108,0.022
