Accuracy,F1,Enc Accuracy,Enc F1
0.9959648994362572,0.9509147815466042,0.9951804708663228,0.9412064917831988
0.9957368921985964,0.9482846122614698,0.9953519992469486,0.943749683560326
0.9950214933428162,0.938930514215334,0.9954670487705388,0.9438091533774148
0.995358274675508,0.944548566859085,0.9946094068674106,0.932860901961806
0.995644852579724,0.9476094614997485,0.9953268975327106,0.9435430881981298
0.9954377634372614,0.9437611201361492,0.9957327085795568,0.9480916030534352
0.9954879668657372,0.9449562354862582,0.995527711246614,0.945325286415712
0.9959167878173012,0.950204081632653,0.9956239344845258,0.9460991445944552
0.9958958697221032,0.9501068050045772,0.9951951135329616,0.9425275852578376
0.9958268400079489,0.9492611714438312,0.9933041177270396,0.9191972737599396
