Category,Proportion,F1,DR,Enc F1,Enc DR
Benign,0.9602493436947631,0.9977317293029836,0.9987278129710795,0.9974238643344328,0.9990393245209693
Exploits,0.01322860340337409,0.7171343499052604,0.6283997469955724,0.6927479125621541,0.5838077166350412
Generic,0.006777462844233404,0.8002197399743637,0.6743827160493827,0.7769809340563232,0.6854938271604938
Fuzzers,0.009480080743847465,0.5696084936960849,0.4735216240070609,0.21272008623787278,0.13062665489849956
Backdoor,0.000838815617449875,0.0,0.0,0.0,0.0
DoS,0.00243277447155662,0.003427592116538132,0.0017196904557179708,0.0,0.0
Reconnaissance,0.005359215989791969,0.728375245229178,0.7970335675253708,0.44752475247524753,0.35284933645589384
Shellcode,0.0005606049513131334,0.03623188405797101,0.018656716417910446,0.0,0.0
Worms,6.6937904634404e-05,0.06060606060606061,0.03125,0.0,0.0
Analysis,0.001006160379035885,0.0,0.0,0.0,0.0
