Category,Proportion,F1,DR,Enc F1,Enc DR
Benign,0.959856083505036,0.9978093656983998,0.9984200111579902,0.9975763027918373,0.9982543847414485
Exploits,0.013569568355105584,0.7418443359876702,0.6677971327269925,0.724563644103874,0.6559272390935718
Generic,0.006902971415422911,0.7993533321358003,0.6742424242424242,0.7987782968020122,0.6736363636363636
Fuzzers,0.009444519982010438,0.6803905422891424,0.640531561461794,0.5498412698412699,0.4795127353266888
Backdoor,0.0008973862840049785,0.0,0.0,0.0,0.0
DoS,0.002313541328926588,0.0018050541516245486,0.0009041591320072332,0.0,0.0
Reconnaissance,0.005411511227787598,0.6727574750830564,0.62620796289138,0.7465780211184984,0.7379203710862002
Shellcode,0.0006003493321898108,0.0,0.0,0.22674418604651164,0.13588850174216027
Worms,8.158057127317986e-05,0.0,0.0,0.0,0.0
Analysis,0.00092248799824288,0.0,0.0,0.0,0.0
