Accuracy,F1,Enc Accuracy,Enc F1
0.9823837404528741,0.9801926556567756,0.9794814504735652,0.9769440754724873
0.981948483858745,0.9803746430850003,0.9811229028108512,0.9789877733733564
0.9833018377709252,0.9811151436550186,0.979988110736701,0.9786007886121888
0.9834085832420908,0.9814958529876269,0.982244870565906,0.9803348987041238
0.9810246918651384,0.9780129901371182,0.9782913689791976,0.9755676648084427
0.9821553687411517,0.980491784418111,0.977660010769827,0.9755404712846847
0.983382767834203,0.9814414659401114,0.9803835006759772,0.9790379768018325
0.9834432729473331,0.9817468701300057,0.9795688787471301,0.9768227505203375
0.9823122424538299,0.9801340849902208,0.9779883453075237,0.9754337889991739
0.9823175456516872,0.9806884145129745,0.9766206433203443,0.9748250724289045
