Accuracy,F1,Enc Accuracy,Enc F1
0.9902320256832979,0.9895842950305086,0.987627999252084,0.9874888443127676
0.9901086948576219,0.9893968515083608,0.9874242093735811,0.9873741400678714
0.9900569467427134,0.9892793495989548,0.9887337675807149,0.9874720583257096
0.9894867617814656,0.9890275597930845,0.9858386542421,0.9861151910385212
0.989966081648208,0.9890639294317103,0.9871984466240777,0.9872202685198392
0.9902810836713088,0.9896290576626632,0.9880910945994863,0.9874217003645356
0.990211001121471,0.9891310733799421,0.9883383864248766,0.9879672449439205
0.9900791661248614,0.989326909895619,0.9883931177394712,0.987645513525309
0.9897074557021974,0.9887449956776082,0.9880622100536236,0.9865292453859518
0.9904351456741821,0.9895619137144309,0.9895119183686226,0.9883141553431193
