Accuracy,F1,Enc Accuracy,Enc F1
0.9998265448004008,0.9965007337171238,0.9995635643364918,0.9911963882618512
0.999781782168246,0.995593220338983,0.9995020157172791,0.9899684400360684
0.999798568155304,0.995966386554622,0.9995020157172791,0.9900313620071686
0.9997873774972652,0.9958122107119244,0.999513206375318,0.9904216668501596
0.9997621985166782,0.9953082739967988,0.9995663620010016,0.9914454440090512
0.9998069611488328,0.9961102655166582,0.9995775526590402,0.9914848023459087
0.9998293424649104,0.9965713000955538,0.9994880273947307,0.9897427274255928
0.9998097588133428,0.9961716022970386,0.99949642038826,0.9899001234429358
0.9997594008521686,0.9951641925326136,0.9995020157172791,0.9900044923629828
0.999815354142362,0.9963406520292748,0.9995243970333566,0.9905785856794502
