Category,Proportion,F1,DR,Enc F1,Enc DR
normal,0.5203178130155203,0.9809954751131222,0.9880944678097703,0.9680452931580462,0.9844710449692656
neptune,0.30656836009830657,0.9990664982702762,0.9990116406764771,0.9968121358689678,0.9958269273006809
warezclient,0.00643032690300643,0.8011204481792717,0.7486910994764397,0.49816849816849806,0.35602094240837695
ipsweep,0.025451974548025454,0.9672346002621232,0.9761904761904762,0.9478547854785478,0.9497354497354498
portsweep,0.020805979194020805,0.9616951915240425,0.9546925566343042,0.9394957983193277,0.9045307443365695
teardrop,0.005756994243005757,0.9768786127167629,0.9883040935672515,0.9684813753581663,0.9883040935672515
nmap,0.01110998889001111,0.8259493670886076,0.7909090909090909,0.8341085271317831,0.8151515151515152
satan,0.028885971114028887,0.9185441941074524,0.9265734265734266,0.9042016806722688,0.9405594405594405
smurf,0.02184964481702185,0.9930822444273636,0.9953775038520801,0.98989898989899,0.9815100154083205
pod,0.002053664613002054,0.9279999999999999,0.9508196721311475,0.9218749999999999,0.9672131147540983
back,0.008854324479008854,0.9404761904761905,0.9011406844106464,0.41899441340782123,0.28517110266159695
guess_passwd,0.009325657341009326,0.9371633752244166,0.9422382671480144,0.9247706422018349,0.9097472924187726
ftp_write,3.366663300003367e-05,0.0,0.0,0.0,0.0
multihop,0.000201999798000202,0.0,0.0,0.0,0.0
rootkit,0.00013466653200013467,0.0,0.0,0.0,0.0
buffer_overflow,0.00037033296300037033,0.14285714285714288,0.09090909090909091,0.0,0.0
imap,3.366663300003367e-05,0.0,0.0,0.0,0.0
warezmaster,0.007238326095007238,0.7909319899244333,0.7302325581395349,0.7308641975308643,0.6883720930232559
phf,3.366663300003367e-05,0.0,0.0,0.0,0.0
land,0.00013466653200013467,0.3333333333333333,0.25,0.75,0.75
loadmodule,0.000100999899000101,0.0,0.0,0.0,0.0
spy,0.0,0.0,0.0,0.0,0.0
perl,3.366663300003367e-05,0.0,0.0,0.0,0.0
saint,0.002188331145002188,0.0,0.0,0.0,0.0
mscan,0.006261993738006262,0.946524064171123,0.9516129032258065,0.8270270270270271,0.8225806451612904
apache2,0.005117328216005117,0.9870129870129869,1.0,0.923076923076923,0.868421052631579
snmpgetattack,0.0010773322560010774,0.0,0.0,0.0,0.0
processtable,0.004410328923004411,0.9924242424242424,1.0,0.897119341563786,0.8320610687022901
httptunnel,0.0010436656230010436,0.4615384615384615,0.3870967741935484,0.5909090909090909,0.41935483870967744
ps,6.733326600006734e-05,0.0,0.0,0.0,0.0
snmpguess,0.0017843315490017842,0.0,0.0,0.0,0.0
mailbomb,0.0017843315490017842,0.8952380952380953,0.8867924528301887,0.10344827586206896,0.05660377358490566
named,0.00013466653200013467,0.0,0.0,0.0,0.0
sendmail,0.000100999899000101,0.0,0.0,0.0,0.0
xterm,0.000100999899000101,0.0,0.0,0.0,0.0
worm,0.0,0.0,0.0,0.0,0.0
xlock,0.000100999899000101,0.0,0.0,0.0,0.0
xsnoop,3.366663300003367e-05,0.0,0.0,0.0,0.0
sqlattack,3.366663300003367e-05,0.0,0.0,0.0,0.0
udpstorm,3.366663300003367e-05,0.0,0.0,0.0,0.0
