Accuracy,F1,Enc Accuracy,Enc F1
0.9708710389873254,0.973672692993973,0.9509920276553273,0.9574453758879571
0.9688192391083099,0.9727300272699722,0.9500705138125072,0.9546173787159541
0.9697280703612425,0.9729320270679724,0.9467365019783567,0.9519913813419514
0.9684976884092622,0.9720903612429717,0.9423858454551355,0.9510487156179506
0.9717513851066104,0.9744470255529738,0.9530266035255177,0.9580513752819575
0.9705354283302983,0.9734370265629728,0.9541949370596389,0.9607110392889602
0.9717263979072233,0.9742450257549734,0.9520077393636062,0.9575463757869569
0.9678310955743226,0.9713160286839704,0.9524571880549925,0.9577820422179569
0.9707370272931165,0.973672692993973,0.9469660579527904,0.9536410463589532
0.9702660347305307,0.973538026461973,0.9563145539031686,0.961485371847961
