Category,Proportion,F1,DR,Enc F1,Enc DR
normal,0.519004814328519,0.9813426782179825,0.9865075246497146,0.9651166542966859,0.9802802283341983
neptune,0.30747735918930746,0.9987414500683995,0.9992335486696595,0.9980843960374363,0.9983576042921275
warezclient,0.005790660876005791,0.7823834196891192,0.877906976744186,0.7318435754189944,0.7616279069767442
ipsweep,0.025586641080025587,0.9667553191489362,0.9565789473684211,0.9427609427609427,0.9210526315789473
portsweep,0.020065313268020066,0.9609958506224066,0.9714765100671141,0.9509001636661212,0.9748322147651006
teardrop,0.005790660876005791,0.9714285714285714,0.9883720930232558,0.9684813753581661,0.9825581395348837
nmap,0.010672322661010673,0.8782051282051281,0.8643533123028391,0.8092868988391377,0.7697160883280757
satan,0.028515638151028515,0.9335664335664337,0.9456906729634003,0.8990610328638499,0.9043683589138135
smurf,0.02269131064202269,0.9933085501858736,0.9910979228486647,0.994047619047619,0.9910979228486647
pod,0.0015486651180015487,0.8941176470588235,0.8260869565217391,0.8941176470588235,0.8260869565217391
back,0.008921657745008922,0.9147286821705427,0.8905660377358491,0.4648910411622276,0.3622641509433962
guess_passwd,0.009157324176009157,0.9264705882352942,0.9264705882352942,0.9028571428571428,0.8713235294117647
ftp_write,0.00013466653200013467,0.0,0.0,0.0,0.0
multihop,0.00016833316500016834,0.0,0.0,0.0,0.0
rootkit,0.000100999899000101,0.0,0.0,0.0,0.0
buffer_overflow,0.00037033296300037033,0.0,0.0,0.0,0.0
imap,3.366663300003367e-05,0.0,0.0,0.0,0.0
warezmaster,0.007002659664007003,0.8207792207792207,0.7596153846153846,0.6350974930362117,0.5480769230769231
phf,6.733326600006734e-05,0.0,0.0,0.0,0.0
land,0.00013466653200013467,0.888888888888889,1.0,0.75,0.75
loadmodule,0.000100999899000101,0.0,0.0,0.0,0.0
spy,0.0,0.0,0.0,0.0,0.0
perl,0.0,0.0,0.0,0.0,0.0
saint,0.0019526647140019526,0.03389830508474576,0.017241379310344827,0.03389830508474576,0.017241379310344827
mscan,0.007305659361007306,0.9311163895486936,0.9032258064516129,0.8853211009174311,0.8894009216589862
apache2,0.00542032791300542,0.9846153846153846,0.9937888198757764,0.9470404984423676,0.9440993788819876
snmpgetattack,0.001211998788001212,0.0,0.0,0.0,0.0
processtable,0.004746995253004747,0.96,0.9361702127659575,0.897338403041825,0.8368794326241135
httptunnel,0.0009763323570009763,0.0,0.0,0.06666666666666667,0.034482758620689655
ps,6.733326600006734e-05,0.0,0.0,0.0,0.0
snmpguess,0.0022556644110022558,0.0,0.0,0.0,0.0
mailbomb,0.002322997677002323,0.838235294117647,0.8260869565217391,0.0,0.0
named,0.00013466653200013467,0.0,0.0,0.0,0.0
sendmail,0.000100999899000101,0.0,0.0,0.0,0.0
xterm,3.366663300003367e-05,0.0,0.0,0.0,0.0
worm,0.0,0.0,0.0,0.0,0.0
xlock,3.366663300003367e-05,0.0,0.0,0.0,0.0
xsnoop,6.733326600006734e-05,0.0,0.0,0.0,0.0
sqlattack,3.366663300003367e-05,0.0,0.0,0.0,0.0
udpstorm,0.0,0.0,0.0,0.0,0.0
