Category,Proportion,F1,DR,Enc F1,Enc DR
normal,0.5208901457765209,0.9770310642808956,0.9885599793174767,0.9661453305013837,0.9795113753877973
neptune,0.30946369053630945,0.9988038277511962,0.9992384682332462,0.9966308009998912,0.9976066144473456
warezclient,0.005891660775005892,0.8353658536585366,0.7828571428571428,0.7679558011049723,0.7942857142857143
ipsweep,0.025552974447025555,0.9640287769784173,0.9710144927536232,0.95359784801614,0.9341238471673254
portsweep,0.019896980103019896,0.9595872742906277,0.9441624365482234,0.9323181049069373,0.9323181049069373
teardrop,0.006026327307006026,0.9728260869565218,1.0,0.9700272479564034,0.994413407821229
nmap,0.010436656230010437,0.8561872909698998,0.8258064516129032,0.82642089093702,0.867741935483871
satan,0.028616638050028616,0.9382573571840739,0.9564705882352941,0.8987951807228916,0.8776470588235294
smurf,0.021176312157021177,0.9936507936507937,0.9952305246422893,0.9936305732484076,0.9920508744038156
pod,0.0013466653200013467,0.9620253164556962,0.95,0.8860759493670887,0.875
back,0.008315658351008316,0.7396593673965938,0.6153846153846154,0.28295819935691313,0.17813765182186234
guess_passwd,0.009056324277009056,0.9044834307992202,0.862453531598513,0.909090909090909,0.8921933085501859
ftp_write,6.733326600006734e-05,0.0,0.0,0.0,0.0
multihop,0.00016833316500016834,0.0,0.0,0.0,0.0
rootkit,0.000201999798000202,0.0,0.0,0.0,0.0
buffer_overflow,0.000504999495000505,0.0,0.0,0.0,0.0
imap,0.00013466653200013467,0.0,0.0,0.0,0.0
warezmaster,0.006396660270006397,0.8218390804597702,0.7526315789473684,0.7267441860465116,0.6578947368421053
phf,6.733326600006734e-05,0.0,0.0,0.0,0.0
land,0.00016833316500016834,0.6,0.6,0.8333333333333333,1.0
loadmodule,0.000100999899000101,0.0,0.0,0.0,0.0
spy,3.366663300003367e-05,0.0,0.0,0.0,0.0
perl,0.0,0.0,0.0,0.0,0.0
saint,0.001817998182001818,0.0,0.0,0.03636363636363636,0.018518518518518517
mscan,0.007137326196007137,0.887218045112782,0.8349056603773585,0.8229426433915213,0.7783018867924528
apache2,0.004847995152004848,0.9791666666666666,0.9791666666666666,0.9370629370629372,0.9305555555555556
snmpgetattack,0.0013803319530013803,0.0,0.0,0.0,0.0
processtable,0.00430932902400431,0.9763779527559054,0.96875,0.8512396694214877,0.8046875
httptunnel,0.0010773322560010774,0.6382978723404256,0.46875,0.0,0.0
ps,0.0,0.0,0.0,0.0,0.0
snmpguess,0.00201999798000202,0.0,0.0,0.627906976744186,0.9
mailbomb,0.002423997576002424,0.6201550387596899,0.5555555555555556,0.048780487804878044,0.027777777777777776
named,0.00016833316500016834,0.0,0.0,0.0,0.0
sendmail,0.00013466653200013467,0.0,0.0,0.0,0.0
xterm,3.366663300003367e-05,0.0,0.0,0.0,0.0
worm,3.366663300003367e-05,0.0,0.0,0.0,0.0
xlock,0.000100999899000101,0.0,0.0,0.0,0.0
xsnoop,0.0,0.0,0.0,0.0,0.0
sqlattack,0.0,0.0,0.0,0.0,0.0
udpstorm,0.0,0.0,0.0,0.0,0.0
