Category,Proportion,F1,DR,Enc F1,Enc DR
normal,0.5202841463825203,0.9771217712177123,0.9882878219231267,0.9605475805684951,0.9884172382554678
neptune,0.30576036090630576,0.9992844955693764,0.9995595683770094,0.9969705315340127,0.9964765470160758
warezclient,0.006295660371006296,0.6772151898734177,0.5721925133689839,0.6382978723404255,0.48128342245989303
ipsweep,0.02514897485102515,0.9594145043246839,0.965194109772423,0.9294781382228491,0.8821954484605087
portsweep,0.020603979396020603,0.969243557772236,0.9526143790849673,0.9534109816971713,0.9362745098039216
teardrop,0.005723327610005723,0.976878612716763,0.9941176470588236,0.976878612716763,0.9941176470588236
nmap,0.010907989092010907,0.9173166926677068,0.9074074074074074,0.8525641025641025,0.8209876543209876
satan,0.02976130357202976,0.9331848552338529,0.9479638009049773,0.8901536710301651,0.8846153846153846
smurf,0.021950644716021952,0.9907264296754251,0.9831288343558282,0.9777777777777777,0.9785276073619632
pod,0.001817998182001818,0.9444444444444444,0.9444444444444444,0.8599999999999999,0.7962962962962963
back,0.009931656735009932,0.7844660194174757,0.6847457627118644,0.3743315508021391,0.23728813559322035
guess_passwd,0.008955324378008955,0.937381404174573,0.9285714285714286,0.8932806324110673,0.849624060150376
ftp_write,0.000100999899000101,0.0,0.0,0.0,0.0
multihop,0.00013466653200013467,0.0,0.0,0.0,0.0
rootkit,0.00016833316500016834,0.0,0.0,0.0,0.0
buffer_overflow,0.00037033296300037033,0.3076923076923077,0.18181818181818182,0.0,0.0
imap,6.733326600006734e-05,0.6666666666666666,0.5,0.6666666666666666,0.5
warezmaster,0.006665993334006666,0.7947368421052633,0.7626262626262627,0.009950248756218907,0.005050505050505051
phf,6.733326600006734e-05,0.0,0.0,0.0,0.0
land,0.00013466653200013467,0.888888888888889,1.0,0.75,0.75
loadmodule,0.0,0.0,0.0,0.0,0.0
spy,0.0,0.0,0.0,0.0,0.0
perl,3.366663300003367e-05,0.0,0.0,0.0,0.0
saint,0.001716998283001717,0.0,0.0,0.0,0.0
mscan,0.0066996599670067,0.9347258485639687,0.8994974874371859,0.8068181818181819,0.7135678391959799
apache2,0.004578662088004578,0.9537366548042705,0.9852941176470589,0.883720930232558,0.9779411764705882
snmpgetattack,0.001413998586001414,0.0,0.0,0.0,0.0
processtable,0.004948995051004949,0.975609756097561,0.9523809523809523,0.8106060606060606,0.7278911564625851
httptunnel,0.0010436656230010436,0.7346938775510204,0.5806451612903226,0.2285714285714286,0.12903225806451613
ps,0.00016833316500016834,0.0,0.0,0.0,0.0
snmpguess,0.002322997677002323,0.0,0.0,0.0,0.0
mailbomb,0.0018516648150018516,0.7522935779816514,0.7454545454545455,0.38636363636363635,0.3090909090909091
named,6.733326600006734e-05,0.0,0.0,0.0,0.0
sendmail,0.000100999899000101,0.0,0.0,0.0,0.0
xterm,6.733326600006734e-05,0.0,0.0,0.0,0.0
worm,3.366663300003367e-05,0.0,0.0,0.0,0.0
xlock,6.733326600006734e-05,0.0,0.0,0.0,0.0
xsnoop,3.366663300003367e-05,0.0,0.0,0.0,0.0
sqlattack,0.0,0.0,0.0,0.0,0.0
udpstorm,0.0,0.0,0.0,0.0,0.0
