Category,Proportion,F1,DR,Enc F1,Enc DR
Benign,0.9602493436947631,0.9977493735538308,0.9981853907618309,0.9975033307094684,0.9987169209588456
Exploits,0.01322860340337409,0.7388271764401964,0.6783681214421252,0.6791259344450834,0.5602466793168881
Generic,0.006777462844233404,0.8030831345200954,0.6753086419753086,0.8022764824674132,0.6743827160493827
Fuzzers,0.009480080743847465,0.662923976608187,0.6253309796999117,0.466538143762049,0.3737864077669903
Backdoor,0.000838815617449875,0.0,0.0,0.0,0.0
DoS,0.00243277447155662,0.0034334763948497857,0.0017196904557179708,0.0,0.0
Reconnaissance,0.005359215989791969,0.4851981936778724,0.37743950039032004,0.6918628665840562,0.6537861046057767
Shellcode,0.0005606049513131334,0.0,0.0,0.0,0.0
Worms,6.6937904634404e-05,0.0,0.0,0.0,0.0
Analysis,0.001006160379035885,0.0,0.0,0.0,0.0
