Category,Proportion,F1,DR,Enc F1,Enc DR
Benign,0.9602807208375606,0.9976545898041201,0.9987126062208784,0.9974959146452472,0.998960935985379
Exploits,0.012973402641955423,0.7129822025476555,0.63624637213802,0.6831875607385811,0.5667526604321187
Generic,0.0069092468439823865,0.7996463306808135,0.6845292158643658,0.8006442376521117,0.6772630941568272
Fuzzers,0.009304368744182155,0.35063829787234047,0.23156474820143885,0.3020157157499146,0.19874100719424462
Backdoor,0.0009162125696834046,0.0,0.0,0.0,0.0
DoS,0.002497620566671199,0.013245033112582783,0.006700167504187605,0.0,0.0
Reconnaissance,0.005476357322902177,0.720251616285165,0.7872421695951107,0.6875231395779341,0.7093200916730329
Shellcode,0.000604532951229461,0.0,0.0,0.0,0.0
Worms,6.6937904634404e-05,0.0,0.0,0.0,0.0
Analysis,0.0009705996171988578,0.0,0.0,0.0,0.0
