Model,Mean Accuracy,Mean F1,Mean Enc Accuracy,Mean Enc F1,Accuracy Difference,Q-Value Accuracy
binaryANN,0.9956291640083255,0.9468577350085712,0.9951319408854629,0.9406410211962255,0.0004972231228624335,0.001
binaryET,0.997596092499817,0.9698735607385729,0.9974944305571534,0.9686114703071231,0.00010166194266345575,0.0005
multiANN,0.9825678534817979,0.9805693905512962,0.9793350082387023,0.9772095261005532,0.0032328452430955166,0.0045000000000000005
multiET,0.9826280043174324,0.9807323425128907,0.9794785613713403,0.9772666325004445,0.0031494429460919736,0.0045000000000000005
