Accuracy,F1,Enc Accuracy,Enc F1
0.9838582915495647,0.9840711819058577,0.9643516141957,0.9644778186950743
0.9844354232552391,0.9845132852041121,0.9707687275728647,0.9719722883102971
0.9795704974752251,0.979846639278094,0.9676373516236049,0.9684763974148414
0.9811994472081884,0.9811402007803938,0.9727634428637812,0.9726518174539104
0.9774104421868093,0.9775771756803884,0.9676734119383886,0.9690642310595575
0.9825130352648161,0.982489434549881,0.966379269606706,0.9674169869186544
0.9817418821503444,0.9816936486130233,0.967128826429127,0.9682651702834534
0.9803499707456867,0.9808749388014413,0.9632036910821877,0.9637851901944761
0.9827917891961849,0.9831263907832919,0.966590921782023,0.9674661095073491
0.9837718644604545,0.9839843986658301,0.9689279601076457,0.9694064517607985
