Category,Proportion,F1,DR,Enc F1,Enc DR
BENIGN,0.7752117592927658,0.9892358559104301,0.9865768268083264,0.97997322448704,0.9816532364527337
DDoS,0.08468406807080857,0.994200110751654,0.9893654046946905,0.9760265659439357,0.9718086546270157
PortScan,0.052128891123057,0.9094955489614243,0.924236713154919,0.8883936969135713,0.9642543033044352
Bot,0.0006549678492656992,0.532608695652174,0.3675,0.0,0.0
Infiltration,4.912258869492744e-06,0.4,0.3333333333333333,0.0,0.0
Web Attack � Brute Force,0.0005436233148905303,0.029154518950437316,0.015060240963855422,0.0,0.0
Web Attack � XSS,0.00021941422950400922,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,1.473677660847823e-05,0.0,0.0,0.0,0.0
FTP-Patator,0.0024806907290938355,0.9940397350993376,0.9907590759075907,0.6709732988802757,0.5141914191419142
SSH-Patator,0.0019239680572179913,0.952861952861953,0.963404255319149,0.6288601909039866,0.4765957446808511
DoS slowloris,0.001887944825508378,0.9681639773222852,0.9627059843885516,0.8686302010285181,0.805724197745013
DoS Slowhttptest,0.0017651383537710592,0.9706152433425161,0.9805194805194806,0.8077294685990338,0.7755102040816326
DoS Hulk,0.07499545616054572,0.9699167594507183,0.9985371498438899,0.917715878710326,0.876880417458134
DoS GoldenEye,0.003481154118847191,0.9693106704438149,0.9656632173095014,0.9119649805447471,0.8819379115710254
Heartbleed,3.2748392463284957e-06,0.0,0.0,0.0,0.0
