Accuracy,F1,Enc Accuracy,Enc F1
0.995339473375129,0.9953280199133578,0.9977669997118535,0.9977645341183792
0.9980298559543844,0.998027811684737,0.9957679399873799,0.995758837749216
0.9986028718760837,0.9986022354658817,0.9980868796784024,0.9980852540628516
0.9931899222793983,0.99316435700438,0.9836899420728047,0.9838203968310956
0.9971132163065364,0.9971087336349057,0.9979198894709971,0.9979177137933508
0.9987848635735939,0.9987841363299108,0.9986748925869232,0.9986740384385249
0.9987609197054776,0.9987602020056963,0.9979340036603775,0.9979320743878796
0.998378597987443,0.9983772528182666,0.9898603624772769,0.9898039778846844
0.997934334734944,0.9979320743878796,0.9965073458781197,0.9965008017998612
0.995925663288633,0.9959168042890308,0.9974993327594404,0.9974964696871784
