Accuracy,F1,Enc Accuracy,Enc F1
0.9965534573131328,0.9937305167099144,0.996692276393576,0.993984032874518
0.996361982719418,0.99336221352711,0.997769320983222,0.9959183673469386
0.9966970632584188,0.9940039625986304,0.9979512218472512,0.9962727510232516
0.9961609343960174,0.9929937975015288,0.9934563557597952,0.9881191388765764
0.9943275651611976,0.9897465627190212,0.9977932553074365,0.9959805742285928
0.997395945525478,0.9952546276103912,0.9940786481893684,0.989275837256279
0.9981570570354946,0.996638464695148,0.9978746320097652,0.9961187454106788
0.996395490773318,0.9934416234812524,0.9975251908762356,0.995485859476639
0.9975586989301356,0.9955427372836916,0.9974533879035924,0.9953511132860288
0.9977118786051076,0.9958658386812198,0.9980421722792656,0.9964579851218054
