Category,Proportion,F1,DR,Enc F1,Enc DR
BENIGN,0.775334565764503,0.9887847922463601,0.9816434710988152,0.9829436061668985,0.987060463348187
DDoS,0.08443354286846444,0.9952201551745957,0.9912925433918356,0.9636738720961521,0.9376127218074275
PortScan,0.05195532464300159,0.9033463661453541,0.9902930980144973,0.9141010681267391,0.962874251497006
Bot,0.0006942659202216411,0.4519572953736654,0.29952830188679247,0.0,0.0
Infiltration,1.473677660847823e-05,0.0,0.0,0.0,0.0
Web Attack � Brute Force,0.0005092375028040811,0.04402515723270441,0.022508038585209004,0.0,0.0
Web Attack � XSS,0.00021286455101135224,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,1.1461937362149735e-05,0.0,0.0,0.0,0.0
FTP-Patator,0.0026264210755554537,0.991869918699187,0.9887780548628429,0.8723262032085561,0.8135910224438903
SSH-Patator,0.001922330637594827,0.9283516483516483,0.899488926746167,0.9344398340248962,0.959114139693356
DoS slowloris,0.0018601086919145856,0.9583519928347515,0.9419014084507042,0.8500239578342119,0.7808098591549296
DoS Slowhttptest,0.00179624932661118,0.9695038689121529,0.9708295350957156,0.7996323529411765,0.7930720145852325
DoS Hulk,0.07525908071987517,0.9749321411464155,0.9963665636830425,0.9137414599670179,0.8860580479526565
DoS GoldenEye,0.0033648973256025297,0.9675356615838663,0.9571776155717762,0.8184100418410041,0.7138686131386861
Heartbleed,4.912258869492744e-06,0.0,0.0,0.0,0.0
