Accuracy,F1,Enc Accuracy,Enc F1
0.9783619918014739,0.9783418506444062,0.968536087312885,0.9691526517192085
0.981305144659969,0.9813432408136663,0.9726399003597863,0.9735507608270276
0.9799725823718665,0.9801397373906403,0.9726045098631039,0.9730136871906298
0.9845126552498704,0.9846966762019065,0.9693084692655968,0.9695390827502751
0.9835672331302584,0.9837944579895428,0.9680860706884528,0.9687138232602003
0.9845446966313438,0.984811295575528,0.9664181607900144,0.9671713739751798
0.9813239389788564,0.9813039427427102,0.9701609354938305,0.9703905409543208
0.978720699615798,0.9788363513706019,0.9689786726672004,0.9692394349592361
0.9834027551352388,0.9837076747495153,0.9682049046487486,0.9694703111261023
0.9824807739784926,0.98249925906762,0.9695950533286981,0.9704380261233922
