Accuracy,F1,Enc Accuracy,Enc F1
0.9953876712789954,0.995196184999474,0.9922903410429924,0.9919646303379066
0.994175672490994,0.9939592862879292,0.9923240076759924,0.9920274145045108
0.994175672490994,0.9939381197659344,0.9924586742079924,0.9921491658488716
0.9941420058579942,0.993885726333544,0.9916843416489916,0.991314132995745
0.994041005958994,0.9937835844484249,0.9912130087869911,0.9908263329935678
0.993940006059994,0.9936864258155034,0.9913476753189914,0.9909853028868078
0.9946133387199946,0.9944363307601364,0.9922566744099922,0.9919888540578194
0.9945460054539944,0.9943241538784948,0.991852674813992,0.9915194841603588
0.9944113389219944,0.9941623294415528,0.9912130087869911,0.9908218166473256
0.994175672490994,0.9939559095832023,0.9918190081809918,0.9915061693872558
