Accuracy,F1,Enc Accuracy,Enc F1
0.9980632177233933,0.9980613197386372,0.9975472054015924,0.9975443383356071
0.9974662506953104,0.9974629616332781,0.9964451277531835,0.9964385725569037
0.9967506218709085,0.9967449319068477,0.9955779317033203,0.9955673631555013
0.9975092869000493,0.9975060434168641,0.9928179053703288,0.992790981546636
0.9971418471579373,0.9971374548239629,0.9974941218470388,0.9974916828223355
0.9989664368704341,0.9989660371939398,0.9945878162035346,0.994571695268184
0.9982017791603451,0.9982001388190803,0.9976569532115869,0.9976544362269931
0.9990765051279961,0.9990761350853258,0.9947722353157944,0.9947583829970562
0.9982018141358507,0.9982001388190803,0.996936584873277,0.9969316196357196
0.9955588622656784,0.9955482156961298,0.998292199563289,0.998291089251095
