dims,loss1,loss2,loss3,loss4,loss5,loss6,loss7,loss8,loss9,loss10
1.0,0.10542719066143036,0.10542330145835876,0.10542119294404984,0.10542701929807663,0.10542011260986328,0.10542375594377518,0.1054224744439125,0.10542835295200348,0.10541551560163498,0.10541649162769318
2.0,0.08010530471801758,0.08040282875299454,0.08017335087060928,0.1054067611694336,0.08011972159147263,0.08012066036462784,0.08076610416173935,0.08010467886924744,0.08009974658489227,0.08006756007671356
3.0,0.07318947464227676,0.07296647876501083,0.07317519187927246,0.07389353960752487,0.07340265065431595,0.07331531494855881,0.07266917079687119,0.07256370782852173,0.07299399375915527,0.07383684813976288
4.0,0.06943023949861526,0.06977177411317825,0.06916530430316925,0.06980939209461212,0.0697053000330925,0.06922745704650879,0.06916289776563644,0.07041652500629425,0.07036474347114563,0.06915397942066193
5.0,0.06801589578390121,0.06804080307483673,0.06807711720466614,0.06787198781967163,0.06822376698255539,0.06815274804830551,0.06827238947153091,0.0678628459572792,0.06786320358514786,0.06805481016635895
6.0,0.06728523224592209,0.06733274459838867,0.0672125294804573,0.06706787645816803,0.0669877827167511,0.06696052104234695,0.06684403866529465,0.06697850674390793,0.06734660267829895,0.06714431196451187
7.0,0.06671635806560516,0.06633436679840088,0.06624438613653183,0.06675786525011063,0.06660984456539154,0.06648208945989609,0.0665745958685875,0.06636541336774826,0.06637180596590042,0.06664209067821503
8.0,0.06603623181581497,0.06608650088310242,0.06609397381544113,0.06615033000707626,0.06598640233278275,0.0659652054309845,0.06632590293884277,0.06618291139602661,0.06629269570112228,0.06598687171936035
9.0,0.06589885801076889,0.06584802269935608,0.06578719615936279,0.06571652740240097,0.06576798856258392,0.0656571313738823,0.06567363440990448,0.06571901589632034,0.06578094512224197,0.06588541716337204
10.0,0.06554163247346878,0.06557217240333557,0.06531833857297897,0.06540229916572571,0.06568057090044022,0.06557665020227432,0.0657731145620346,0.06554131954908371,0.06546787172555923,0.06556449085474014
11.0,0.06532300263643265,0.06526754796504974,0.06539666652679443,0.06545007228851318,0.06537403911352158,0.06525789946317673,0.06526971608400345,0.0654781311750412,0.06537775695323944,0.06549695134162903
