Accuracy,F1,Enc Accuracy,Enc F1
0.9987604733452646,0.9972377404205786,0.9971754511500416,0.9937126632429536
0.9987424617294098,0.9971983890737176,0.9972622343900692,0.9939083039435715
0.9987080759173234,0.9971205745712794,0.9985263223391522,0.9967160955105376
0.9986671404267444,0.9970290235926186,0.9975291337886452,0.9944966575126644
0.9987440991490332,0.9972017613945224,0.9973048073002716,0.9940015014467825
0.9987211752743088,0.9971519114284568,0.9962994316516488,0.9917715251077712
0.9987490114079024,0.9972100904164416,0.997597905412818,0.9946471770883124
0.9987195378546856,0.9971432746401694,0.9977403609200334,0.9949611497341824
0.9987457365686562,0.9972103051183252,0.9982201248696204,0.9960422499827054
0.9987129881761928,0.9971351717803484,0.9978598925525244,0.9952372449630312
