Category,Proportion,F1,DR,Enc F1,Enc DR
normal,0.5208901457765209,0.9785808612748412,0.9886246122026887,0.9643549012010847,0.9746639089968976
neptune,0.30946369053630945,0.9989668859768365,0.9993472584856397,0.9974471783173103,0.9989120974760661
warezclient,0.005891660775005892,0.8352941176470587,0.8114285714285714,0.7132530120481929,0.8457142857142858
ipsweep,0.025552974447025555,0.9600523903077931,0.9657444005270093,0.9526281635301752,0.9670619235836627
portsweep,0.019896980103019896,0.9644067796610171,0.9627749576988156,0.9069767441860466,0.8578680203045685
teardrop,0.006026327307006026,0.9728260869565218,1.0,0.9700272479564034,0.994413407821229
nmap,0.010436656230010437,0.8779661016949153,0.8354838709677419,0.856655290102389,0.8096774193548387
satan,0.028616638050028616,0.9147928994082839,0.9094117647058824,0.907769703745109,0.9552941176470588
smurf,0.021176312157021177,0.9904306220095694,0.9872813990461049,0.9889589905362776,0.9968203497615262
pod,0.0013466653200013467,0.9473684210526316,0.9,0.9500000000000001,0.95
back,0.008315658351008316,0.8329718004338394,0.7773279352226721,0.5124378109452736,0.41700404858299595
guess_passwd,0.009056324277009056,0.9356060606060606,0.9182156133828996,0.7944664031620553,0.7472118959107806
ftp_write,6.733326600006734e-05,0.0,0.0,0.0,0.0
multihop,0.00016833316500016834,0.0,0.0,0.0,0.0
rootkit,0.000201999798000202,0.0,0.0,0.0,0.0
buffer_overflow,0.000504999495000505,0.2222222222222222,0.13333333333333333,0.0,0.0
imap,0.00013466653200013467,0.0,0.0,0.0,0.0
warezmaster,0.006396660270006397,0.8415300546448087,0.8105263157894737,0.4934210526315789,0.39473684210526316
phf,6.733326600006734e-05,0.0,0.0,0.0,0.0
land,0.00016833316500016834,0.6,0.6,0.6666666666666665,0.6
loadmodule,0.000100999899000101,0.0,0.0,0.0,0.0
spy,3.366663300003367e-05,0.0,0.0,0.0,0.0
perl,0.0,0.0,0.0,0.0,0.0
saint,0.001817998182001818,0.0,0.0,0.0,0.0
mscan,0.007137326196007137,0.893827160493827,0.8537735849056604,0.8541666666666667,0.7735849056603774
apache2,0.004847995152004848,0.9859154929577464,0.9722222222222222,0.9411764705882353,0.9444444444444444
snmpgetattack,0.0013803319530013803,0.0,0.0,0.0,0.0
processtable,0.00430932902400431,0.9800796812749004,0.9609375,0.921875,0.921875
httptunnel,0.0010773322560010774,0.5531914893617021,0.40625,0.5652173913043478,0.40625
ps,0.0,0.0,0.0,0.0,0.0
snmpguess,0.00201999798000202,0.0,0.0,0.0,0.0
mailbomb,0.002423997576002424,0.5714285714285715,0.4166666666666667,0.17543859649122806,0.1388888888888889
named,0.00016833316500016834,0.0,0.0,0.0,0.0
sendmail,0.00013466653200013467,0.0,0.0,0.0,0.0
xterm,3.366663300003367e-05,0.0,0.0,0.0,0.0
worm,3.366663300003367e-05,0.0,0.0,0.0,0.0
xlock,0.000100999899000101,0.0,0.0,0.0,0.0
xsnoop,0.0,0.0,0.0,0.0,0.0
sqlattack,0.0,0.0,0.0,0.0,0.0
udpstorm,0.0,0.0,0.0,0.0,0.0
