Category,Proportion,F1,DR,Enc F1,Enc DR
normal,0.5203178130155203,0.9791860427824637,0.9894532513749595,0.9659225192424389,0.9862180524102232
neptune,0.30656836009830657,0.9986814635754313,0.9981330990555678,0.9972557628979144,0.9976938282451131
warezclient,0.00643032690300643,0.7933884297520661,0.7539267015706806,0.7118644067796611,0.6596858638743456
ipsweep,0.025451974548025454,0.9653368214519293,0.9761904761904762,0.9604221635883904,0.9629629629629629
portsweep,0.020805979194020805,0.9565217391304348,0.9433656957928802,0.9498767460969597,0.9352750809061489
teardrop,0.005756994243005757,0.9659090909090909,0.9941520467836257,0.962962962962963,0.9883040935672515
nmap,0.01110998889001111,0.8742138364779874,0.8424242424242424,0.734622144112478,0.6333333333333333
satan,0.028885971114028887,0.914683691236216,0.9184149184149184,0.8934945308002302,0.9044289044289044
smurf,0.02184964481702185,0.994577846630519,0.9892141756548536,0.9869130100076983,0.987673343605547
pod,0.002053664613002054,0.9016393442622952,0.9016393442622951,0.7846153846153846,0.8360655737704918
back,0.008854324479008854,0.869198312236287,0.7832699619771863,0.23255813953488372,0.13307984790874525
guess_passwd,0.009325657341009326,0.9323583180987203,0.9205776173285198,0.903954802259887,0.8664259927797834
ftp_write,3.366663300003367e-05,0.0,0.0,0.0,0.0
multihop,0.000201999798000202,0.0,0.0,0.0,0.0
rootkit,0.00013466653200013467,0.0,0.0,0.0,0.0
buffer_overflow,0.00037033296300037033,0.0,0.0,0.12500000000000003,0.09090909090909091
imap,3.366663300003367e-05,0.0,0.0,0.0,0.0
warezmaster,0.007238326095007238,0.8029925187032418,0.7488372093023256,0.5617283950617284,0.4232558139534884
phf,3.366663300003367e-05,0.0,0.0,0.0,0.0
land,0.00013466653200013467,0.888888888888889,1.0,0.6666666666666666,0.5
loadmodule,0.000100999899000101,0.0,0.0,0.0,0.0
spy,0.0,0.0,0.0,0.0,0.0
perl,3.366663300003367e-05,0.0,0.0,0.0,0.0
saint,0.002188331145002188,0.0,0.0,0.0,0.0
mscan,0.006261993738006262,0.8932584269662922,0.8548387096774194,0.8523676880222841,0.8225806451612904
apache2,0.005117328216005117,0.9736842105263158,0.9736842105263158,0.9607843137254902,0.9671052631578947
snmpgetattack,0.0010773322560010774,0.0,0.0,0.0,0.0
processtable,0.004410328923004411,0.953125,0.9312977099236641,0.85,0.7786259541984732
httptunnel,0.0010436656230010436,0.3684210526315789,0.22580645161290322,0.0,0.0
ps,6.733326600006734e-05,0.0,0.0,0.0,0.0
snmpguess,0.0017843315490017842,0.0,0.0,0.0,0.0
mailbomb,0.0017843315490017842,0.5822784810126581,0.4339622641509434,0.0,0.0
named,0.00013466653200013467,0.0,0.0,0.0,0.0
sendmail,0.000100999899000101,0.0,0.0,0.0,0.0
xterm,0.000100999899000101,0.0,0.0,0.0,0.0
worm,0.0,0.0,0.0,0.0,0.0
xlock,0.000100999899000101,0.0,0.0,0.0,0.0
xsnoop,3.366663300003367e-05,0.0,0.0,0.0,0.0
sqlattack,3.366663300003367e-05,0.0,0.0,0.0,0.0
udpstorm,3.366663300003367e-05,0.0,0.0,0.0,0.0
