Accuracy,F1,Enc Accuracy,Enc F1
0.969905794648015,0.9727300272699719,0.9512507102050634,0.956401710264956
0.9701054440539567,0.9723933609399718,0.9531006585279622,0.9591287075379585
0.9648941203472607,0.9690266976399682,0.949344657998481,0.9551560448439546
0.9718961139630786,0.9746826919839741,0.9541280821385982,0.9597683735649594
0.969028893457901,0.9717536949129713,0.9484830525566401,0.9553243780089546
0.9637545225087121,0.9684880315119676,0.942975345354251,0.9530350469649527
0.9689210544766655,0.9719893613439715,0.957783904363201,0.9618220381779613
0.9712325530897534,0.974615358717974,0.9530297429061514,0.9572433760899564
0.9693326178692717,0.9722586944079714,0.9509637575234431,0.9554590445409548
0.9703099040242591,0.9732686933979726,0.9544119170464971,0.9588593744739583
