Model,Mean Accuracy,Mean F1,Mean Enc Accuracy,Mean Enc F1,Accuracy Difference,Q-Value Accuracy
binaryANN,0.9780895242804769,0.9520765335081471,0.963242221847435,0.9163244379798765,0.014847302433041864,0.019
binaryET,0.9987270699849521,0.9971638242436457,0.9975515664374826,0.9945494568532511,0.0011755035474696474,0.002
multiANN,0.9818192471553168,0.9819474486546138,0.9694532764418315,0.9700679692885574,0.012365970713485098,0.0155
multiET,0.9817642643492513,0.9819317294262314,0.9675425217202029,0.9682982461598414,0.014221742629048462,0.0165
